title,author,source_name,source_year,source_rank,source_category,isbn13,source_url
Raising An Emotionally Intelligent Child: The Heart of Parenting,John M. Gottman,Goodreads Library,2025,135,personal-library,9780684838656,
Eight Dates: Essential Conversations for a Lifetime of Love,John M. Gottman,Goodreads Library,2025,136,personal-library,9781523504466,
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman,Goodreads Library,2025,137,personal-library,9780609805794,
Machiavelli: His Life and Times,Alexander Lee,Goodreads Library,2025,138,personal-library,9781447274995,
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,Goodreads Library,2025,139,personal-library,9780307719218,
If You're Clueless About Accounting and Finance and Want to Know More,Seth Godin,Goodreads Library,2025,140,personal-library,9780793128815,
The Practice: Shipping Creative Work,Seth Godin,Goodreads Library,2025,141,personal-library,9780593328972,
The Self-made Billionaire Effect Deluxe: How Extreme Producers Create Massive Value,John Sviokla,Goodreads Library,2025,142,personal-library,9780698198265,
The Category Design Toolkit: Beyond Marketing: 15 Frameworks For Creating & Dominating Your Niche,Category Pirates,Goodreads Library,2025,143,personal-library,9781956934144,
Billion Dollar Loser: The Epic Rise and Spectacular Fall of Adam Neumann and WeWork,Reeves  Wiedeman,Goodreads Library,2025,144,personal-library,9780316461368,
"Manage Your Day-to-Day: Build Your Routine, Find Your Focus, and Sharpen Your Creative Mind",Jocelyn K. Glei,Goodreads Library,2025,145,personal-library,9781477800676,
"Superconsumers: A Simple, Speedy, and Sustainable Path to Superior Growth",Eddie Yoon,Goodreads Library,2025,146,personal-library,9781633692077,
The Power of Introverts: 9 Best-Loved Stories,Susan Cain,Goodreads Library,2025,147,personal-library,,
Quiet Power: The Secret Strengths of Introverts,Susan Cain,Goodreads Library,2025,148,personal-library,9780803740600,
The Art of Explanation,Ros Atkins,Goodreads Library,2025,149,personal-library,9781472298447,
"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Colin Bryar,Goodreads Library,2025,150,personal-library,9781250267597,
The Four Steps to the Epiphany: Successful Strategies for Products that Win,Steve Blank,Goodreads Library,2025,151,personal-library,9780976470700,
Game Theory. Analysis of conflict,Myerson,Goodreads Library,2025,152,personal-library,9780674341166,
Game Theory: A Very Short Introduction,Ken Binmore,Goodreads Library,2025,153,personal-library,9780199218462,
The Joy of Game Theory: An Introduction to Strategic Thinking,Presh Talwalkar,Goodreads Library,2025,154,personal-library,,
"Practice Game Theory: Get a Competitive Edge in Strategic Decision-Making, Avoid Getting Outplayed, and Maximize Your Gains. (Game Theory Series Book 2)",Albert Rutherford,Goodreads Library,2025,155,personal-library,,
Poker Strategy: Mastering the Fundamentals of Game Theory Optimal,Ryan Harrington,Goodreads Library,2025,156,personal-library,,
Game Theory: A Nontechnical Introduction (Dover Books on Mathematics),Morton D. Davis,Goodreads Library,2025,157,personal-library,9780486296722,
Game Theory and Behavior,Jeffrey P. Carpenter,Goodreads Library,2025,158,personal-library,9780262047296,
Introducing Game Theory: A Graphic Guide (Graphic Guides),Ivan Pastine,Goodreads Library,2025,159,personal-library,9781785780837,
Theory of Games and Economic Behavior,John von Neumann,Goodreads Library,2025,160,personal-library,9780691130613,
Game Theory for Applied Economists,Robert Gibbons,Goodreads Library,2025,161,personal-library,9780691003955,
A Course in Game Theory,Martin J. Osborne,Goodreads Library,2025,162,personal-library,9780262650403,
Game Theory,Michael Maschler,Goodreads Library,2025,163,personal-library,9781107005488,
Outplayed: How Game Theory Is Used Against Us,David  Lockwood,Goodreads Library,2025,164,personal-library,9781626349797,
Game Theory: An Introduction,Steven Tadelis,Goodreads Library,2025,165,personal-library,9780691129082,
The Art of Strategy: A Game Theorist's Guide to Success in Business and Life,Avinash K. Dixit,Goodreads Library,2025,166,personal-library,9780393062434,
Game Theory 101: The Complete Textbook,William Spaniel,Goodreads Library,2025,167,personal-library,,
No Limits Hold Em: Learn Game Theory Optimal! A Dominant Framework When It Comes To Finding An Ideal Poker Strategy,Ryan Harrington,Goodreads Library,2025,168,personal-library,,
Learn Game Theory: A Primer to Strategic Thinking and Advanced Decision-Making. (Game Theory Series Book 1),Albert Rutherford,Goodreads Library,2025,169,personal-library,,
Branding that Means Business: An Economist Edge Book,Matt Johnson,Goodreads Library,2025,170,personal-library,9781782838807,
Microserfs,Douglas Coupland,Goodreads Library,2025,171,personal-library,9780060987046,
"Calculus for the practical man, (Mathematics for self study)",James Edgar Thompson,Goodreads Library,2025,172,personal-library,,
The Art of Judgement: 10 Steps to Becoming a More Effective Decision-Maker,John Adair,Goodreads Library,2025,173,personal-library,,
"Generations: The Real Differences Between Gen Z, Millennials, Gen X, Boomers, and Silents―and What They Mean for America's Future",Jean M. Twenge,Goodreads Library,2025,174,personal-library,9781982181611,
New Power: How Power Works in Our Hyperconnected World—and How to Make It Work for You,Jeremy Heimans,Goodreads Library,2025,175,personal-library,9780385541121,
The 33 Strategies of War,Robert Greene,Goodreads Library,2025,176,personal-library,9780670034574,
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Goodreads Library,2025,177,personal-library,9781544514208,
"Conspiracy: Peter Thiel, Hulk Hogan, Gawker, and the Anatomy of Intrigue",Ryan Holiday,Goodreads Library,2025,178,personal-library,9780735217669,
Striking Thoughts: Bruce Lee's Wisdom for Daily Living,Bruce Lee,Goodreads Library,2025,179,personal-library,9780804834711,
"The Tao of Seneca: Practical Letters from a Stoic Master, Volume 1",Timothy Ferriss,Goodreads Library,2025,180,personal-library,,
Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard P. Feynman,Goodreads Library,2025,181,personal-library,9780465023929,
How to Get Your Point Across in 30 Seconds or Less,Milo O. Frank,Goodreads Library,2025,182,personal-library,9780671727529,
Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,Goodreads Library,2025,183,personal-library,9780593086124,
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting,Daniel  Pecaut,Goodreads Library,2025,184,personal-library,,
Worldly Wisdom,Charles T. Munger,Goodreads Library,2025,185,personal-library,9781578646128,
On Success,Charles T. Munger,Goodreads Library,2025,186,personal-library,9781578645985,
The Psychology of Human Misjudgement,Charles T. Munger,Goodreads Library,2025,187,personal-library,,
The Great Mental Models: General Thinking Concepts,Shane Parrish,Goodreads Library,2025,188,personal-library,,
Built from Scratch: How a Couple of Regular Guys Grew The Home Depot from Nothing to $30 Billion,Bernie Marcus,Goodreads Library,2025,189,personal-library,9780812930580,
"Mental Models: 30 Thinking Tools that Separate the Average From the Exceptional. Improved Decision-Making, Logical Analysis, and Problem-Solving.",Peter Hollins,Goodreads Library,2025,190,personal-library,,
Upstream: The Quest to Solve Problems Before They Happen,Dan Heath,Goodreads Library,2025,191,personal-library,9781982134747,
Venture Deals: Be Smarter Than Your Lawyer and Venture Capitalist,Brad Feld,Goodreads Library,2025,192,personal-library,9780470929827,
Bankable Business Plans,Edward G. Rogoff,Goodreads Library,2025,193,personal-library,9780979152207,
People Skills for Analytical Thinkers,Gilbert Eijkelenboom,Goodreads Library,2025,194,personal-library,,
The Inner Game of Selling: Mastering the Hidden Forces that Determine Your Success,Ron Willingham,Goodreads Library,2025,195,personal-library,9780743286282,
Integrity Selling for the 21st Century: How to Sell the Way People Want to Buy,Ron Willingham,Goodreads Library,2025,196,personal-library,9780385509565,
How to Make a Few Billion Dollars,Brad Jacobs,Goodreads Library,2025,197,personal-library,9798886451740,
Deep Human: Practical Superskills for a Future of Success,Crystal Lim-Lange,Goodreads Library,2025,198,personal-library,9789814845656,
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,Goodreads Library,2025,199,personal-library,9780446563048,
Emotional Equations: Simple Truths for Creating Happiness + Success,Chip Conley,Goodreads Library,2025,200,personal-library,9781451607277,
Peak: How Great Companies Get Their Mojo from Maslow,Chip Conley,Goodreads Library,2025,201,personal-library,9780787988616,
The Art of Doing: How Superachievers Do What They Do and How They Do It So Well,Camille Sweeney,Goodreads Library,2025,202,personal-library,,
Graphic Design Manual: Principles and Practice,Armin Hofmann,Goodreads Library,2025,203,personal-library,9780442111113,
"Buy This, Not That: How to Spend Your Way to Wealth and Freedom",Sam Dogen,Goodreads Library,2025,204,personal-library,9780593328774,
The Attributes: 25 Hidden Drivers of Optimal Performance,Rich Diviney,Goodreads Library,2025,205,personal-library,9780593133941,
The Unusual Billionaires,Saurabh Mukherjea,Goodreads Library,2025,206,personal-library,9780670089253,
Algorithms to Live By: The Computer Science of Human Decisions,Brian  Christian,Goodreads Library,2025,207,personal-library,9781627790369,
The Basecamp Employee Handbook,David Heinemeier Hansson,Goodreads Library,2025,208,personal-library,,
Shape Up: Stop Running in Circles and Ship Work that Matters,Ryan Singer,Goodreads Library,2025,209,personal-library,,
The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,Goodreads Library,2025,210,personal-library,9780525559993,
Holacracy: The New Management System for a Rapidly Changing World,Brian J. Robertson,Goodreads Library,2025,211,personal-library,9781627794282,
Toward A Theory Of Economic Growth,Simon Kuznets,Goodreads Library,2025,212,personal-library,9780393004298,
Selling With: The art of selling with champions to shape internal buying conversations & close enterprise deals.,Nate Nasralla,Goodreads Library,2025,213,personal-library,9798218292546,
The Road Less Stupid: Advice from the Chairman of the Board,Keith J. Cunningham,Goodreads Library,2025,214,personal-library,9780984659272,
"Stories That Stick: How Storytelling Can Captivate Customers, Influence Audiences, and Transform Your Business",Kindra Hall,Goodreads Library,2025,215,personal-library,9781400211937,
Economics in One Lesson,Henry Hazlitt,Goodreads Library,2025,216,personal-library,,
The Bonfire of the Vanities,Tom Wolfe,Goodreads Library,2025,217,personal-library,,
Slow Productivity: The Lost Art of Accomplishment Without Burnout,Cal Newport,Goodreads Library,2025,218,personal-library,9780593544853,
Supercommunicators: How to Unlock the Secret Language of Connection,Charles Duhigg,Goodreads Library,2025,219,personal-library,,
Conquering Writer's Block and Summoning Inspiration: Learn to Nurture a Lifestyle of Creativity,K.M. Weiland,Goodreads Library,2025,220,personal-library,9780985780449,
5 Secrets of Story Structure: How to Write a Novel That Stands Out,K.M. Weiland,Goodreads Library,2025,221,personal-library,9781944936006,
"Creating Character Arcs: The Masterful Author's Guide to Uniting Story Structure, Plot, and Character Development",K.M. Weiland,Goodreads Library,2025,222,personal-library,9781944936037,
Structuring Your Novel: Essential Keys for Writing an Outstanding Story,K.M. Weiland,Goodreads Library,2025,223,personal-library,9780985780401,
Outlining Your Novel: Map Your Way to Success,K.M. Weiland,Goodreads Library,2025,224,personal-library,9780978924621,
The Hero Within: Six Archetypes We Live By,Carol S. Pearson,Goodreads Library,2025,225,personal-library,9780062515551,
"Quit Like a Millionaire: No Gimmicks, Luck, or Trust Fund Required",Kristy Shen,Goodreads Library,2025,226,personal-library,9780525538691,
Capital in the Twenty First Century,Thomas Piketty,Goodreads Library,2025,227,personal-library,9780674430006,
"Debt: The First 5,000 Years",David Graeber,Goodreads Library,2025,228,personal-library,9781933633862,
Unshakeable: Your Financial Freedom Playbook,Anthony Robbins,Goodreads Library,2025,229,personal-library,9781501164606,
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,Goodreads Library,2025,230,personal-library,9781626251700,
